Grade,Gauge,Month,National,Weight Purchased,Weight Sold,Weight Consumed
DC,.145 ST,2022-11-01,1,0.0,16488.7,0.0
DC,.145 ST,2022-12-01,0,0.0,3240.6,6730.5
DC,.145 ST,2022-12-01,1,0.0,15705.800000000001,15143.5
DC,.145 ST,2023-01-01,0,10544.357142857143,7510.8,0.0
DC,.145 ST,2023-01-01,1,15766.928571428572,0.0,0.0
DC,.145 ST,2023-02-01,0,0.0,7400.0,0.0
DC,.145 ST,2023-02-01,1,0.0,13125.2,0.0
DC,.145 ST,2023-03-01,0,3496.7142857142853,5535.0,3510.0714285714284
DC,.145 ST,2023-03-01,1,38377.71428571428,8911.14,19305.285714285714
DC,.145 ST,2023-04-01,0,0.0,3960.24,0.0
DC,.145 ST,2023-04-01,1,0.0,19032.27,0.0
DC,.145 ST,2023-05-01,1,0.0,8283.0,0.0
DC,.145 ST,2023-06-01,0,18470.142857142855,2392.2,8798.785714285714
DC,.145 ST,2023-06-01,1,40008.12967032967,4527.6,7039.071428571428
DC,.145 ST,2023-07-01,1,0.0,4527.6,0.0
DC,.145 ST,2023-08-01,0,10202.990476190476,3700.0,1745.5714285714287
DC,.145 ST,2023-08-01,1,22620.423809523807,17084.800000000003,8727.857142857143
DC,.145 ST,2023-09-01,0,0.0,13944.09,0.0
DC,.145 ST,2023-09-01,1,0.0,16459.6,0.0
DC,.145 ST,2023-10-01,0,0.0,2726.9,1705.4285714285713
DC,.145 ST,2023-10-01,1,0.0,8227.6,20465.142857142855
DC,.145 ST,2023-11-01,0,1738.5,2016.9,1791.2857142857142
DC,.145 ST,2023-11-01,1,22134.833333333336,15975.0,17912.571428571428
DC,.145 ST,2023-12-01,0,0.0,3700.0,0.0
DC,.145 ST,2023-12-01,1,0.0,10695.8,0.0
DC,.145 ST,2024-01-01,0,0.0,3240.6,3547.8571428571427
DC,.145 ST,2024-01-01,1,0.0,24746.600000000002,15965.357142857141
DC,.145 ST,2024-02-01,1,0.0,4527.6,0.0
DC,.145 ST,2024-03-01,1,0.0,4527.6,0.0
DC,.145 ST,2024-04-01,0,0.0,0.0,5347.857142857143
DC,.145 ST,2024-04-01,1,0.0,15202.800000000001,14261.0
DC,.145 ST,2024-05-01,0,0.0,7733.8,0.0
DC,.145 ST,2024-05-01,1,0.0,4070.0,0.0
DC,.145 ST,2024-06-01,0,0.0,2095.34,7706.0
DC,.145 ST,2024-06-01,1,0.0,15976.800000000001,13485.615384615385
DC,.145 ST,2024-07-01,1,0.0,5907.8,0.0
DC,.145 ST,2024-08-01,0,12853.0,0.0,5416.285714285714
DC,.145 ST,2024-08-01,1,28276.6,9055.2,7221.714285714285
DC,.145 ST,2024-09-01,0,0.0,7510.8,6655.133333333333
DC,.145 ST,2024-09-01,1,0.0,11296.2,6655.066666666667
DC,.145 ST,2024-10-01,0,0.0,2016.9,0.0
DC,.145 ST,2024-10-01,1,0.0,7602.6,0.0
DC,.145 ST,2024-11-01,0,0.0,0.0,1738.5
DC,.145 ST,2024-11-01,1,0.0,18048.66,13908.0
DC,.145 ST,2024-12-01,0,0.0,6150.0,0.0
DC,.145 ST,2024-12-01,1,0.0,0.0,5039.8
DC,.145 ST,2025-01-01,0,0.0,0.0,12853.0
DC,.145 ST,2025-01-01,1,0.0,0.0,28276.6
DC,.145 SW,2022-02-01,1,0.0,67497.93,75045.44444444444
DC,.145 SW,2022-03-01,0,0.0,26031.7,0.0
DC,.145 SW,2022-03-01,1,0.0,67712.72,51875.0
DC,.145 SW,2022-04-01,0,0.0,21174.13,92476.12698412698
DC,.145 SW,2022-04-01,1,0.0,21260.55,39009.920634920636
DC,.145 SW,2022-05-01,0,30384.0,45718.83,0.0
DC,.145 SW,2022-05-01,1,9654.0,63384.0,26884.0
DC,.145 SW,2022-06-01,0,0.0,13224.9999999999,28887.340909090908
DC,.145 SW,2022-06-01,1,0.0,71214.2,0.0
DC,.145 SW,2022-07-01,0,10951.5,0.0,65231.57142857143
DC,.145 SW,2022-07-01,1,38266.83928571428,10449.6,97311.39285714286
DC,.145 SW,2022-08-01,0,55175.7003968254,88939.83,0.0
DC,.145 SW,2022-08-01,1,0.0,23064.0,0.0
DC,.145 SW,2022-09-01,0,0.0,0.0,12764.75
DC,.145 SW,2022-09-01,1,100034.33333333333,165719.88,46503.569444444445
DC,.145 SW,2022-10-01,0,0.0,18709.5,30384.0
DC,.145 SW,2022-10-01,1,103622.42698412699,66633.69,32637.222222222223
DC,.145 SW,2022-11-01,0,10302.888888888889,0.0,0.0
DC,.145 SW,2022-11-01,1,8385.636363636364,79232.43,38266.83928571428
DC,.145 SW,2022-12-01,0,0.0,0.0,66127.2003968254
DC,.145 SW,2022-12-01,1,0.0,70854.55,0.0
DC,.145 SW,2023-01-01,0,25408.0,41975.0,0.0
DC,.145 SW,2023-01-01,1,43258.0,0.0,48159.33333333333
DC,.145 SW,2023-02-01,0,69813.5012987013,59460.4,0.0
DC,.145 SW,2023-02-01,1,125451.87142857142,71214.2,0.0
DC,.145 SW,2023-03-01,0,5582.555555555556,20700.0,0.0
DC,.145 SW,2023-03-01,1,69792.00793650793,41017.31,62386.85555555556
DC,.145 SW,2023-04-01,0,0.0,14331.88,0.0
DC,.145 SW,2023-04-01,1,0.0,94302.73,50574.0
DC,.145 SW,2023-05-01,0,29138.85714285714,0.0,0.0
DC,.145 SW,2023-05-01,1,86207.14285714286,33788.9,43174.303030303025
DC,.145 SW,2023-06-01,0,0.0,0.0,10302.888888888889
DC,.145 SW,2023-06-01,1,0.0,22211.23,42536.57142857143
DC,.145 SW,2023-07-01,0,0.0,0.0,45133.02272727273
DC,.145 SW,2023-07-01,1,47842.555555555555,23507.6,18985.333333333336
DC,.145 SW,2023-08-01,0,0.0,29612.66,43884.05
DC,.145 SW,2023-08-01,1,138043.45,62398.86,0.0
DC,.145 SW,2023-09-01,0,29468.939393939396,148770.63,5582.555555555556
DC,.145 SW,2023-09-01,1,70335.27272727272,92150.06,78261.02222222222
DC,.145 SW,2023-10-01,0,115258.2594017094,33054.0,6204.428571428572
DC,.145 SW,2023-10-01,1,255030.62713675215,46064.53,62361.857142857145
DC,.145 SW,2023-11-01,0,0.0,4410.0,29138.85714285714
DC,.145 SW,2023-11-01,1,0.0,76996.86,178154.6984126984
DC,.145 SW,2023-12-01,0,35559.264213564216,27656.0,0.0
DC,.145 SW,2023-12-01,1,134826.4126984127,40623.08,70036.2
DC,.145 SW,2024-01-01,0,54199.0,0.0,0.0
DC,.145 SW,2024-01-01,1,40798.0,136164.0,84497.91666666666
DC,.145 SW,2024-02-01,1,0.0,23507.6,0.0
DC,.145 SW,2024-03-01,0,0.0,0.0,5244.555555555556
DC,.145 SW,2024-03-01,1,0.0,23507.6,40222.0
DC,.145 SW,2024-04-01,0,0.0,0.0,87641.28717948718
DC,.145 SW,2024-04-01,1,0.0,73277.3,69558.4188034188
DC,.145 SW,2024-05-01,0,0.0,76577.2,11130.888888888889
DC,.145 SW,2024-05-01,1,51125.0,41866.0,50280.33333333333
DC,.145 SW,2024-06-01,0,0.0,3864.0,4485.222222222223
DC,.145 SW,2024-06-01,1,0.0,72563.03,54662.222222222226
DC,.145 SW,2024-07-01,0,5536.0,0.0,0.0
DC,.145 SW,2024-07-01,1,16119.4,33949.88,72711.0
DC,.145 SW,2024-08-01,0,6541.428571428572,0.0,17759.079365079364
DC,.145 SW,2024-08-01,1,86228.57142857143,45978.1,34684.53968253968
DC,.145 SW,2024-09-01,0,0.0,27053.76,43308.64772727273
DC,.145 SW,2024-09-01,1,0.0,49535.2,35922.4512987013
DC,.145 SW,2024-10-01,0,106491.19047619047,4410.0,28286.01388888889
DC,.145 SW,2024-10-01,1,94575.80952380953,65338.85,99146.68055555556
DC,.145 SW,2024-11-01,0,44159.0,0.0,21681.76818181818
DC,.145 SW,2024-11-01,1,11023.05,86736.13,56661.0
DC,.145 SW,2024-12-01,0,0.0,48875.0,20484.0
DC,.145 SW,2024-12-01,1,4192.818181818182,24220.0,32283.4
DC,.145 SW,2025-01-01,0,0.0,0.0,6541.428571428572
DC,.145 SW,2025-01-01,1,0.0,0.0,91840.57142857143
DC,.156 ST,2022-01-01,0,0.0,6767.4,0.0
DC,.156 ST,2022-01-01,1,0.0,4353.84999999999,0.0
DC,.156 ST,2022-02-01,0,0.0,13266.3,3492.714285714286
DC,.156 ST,2022-02-01,1,0.0,8891.02,5239.071428571428
DC,.156 ST,2022-03-01,0,0.0,6134.219999999999,0.0
DC,.156 ST,2022-03-01,1,0.0,29896.68999999999,0.0
DC,.156 ST,2022-04-01,0,0.0,13632.20999999999,6612.285714285714
DC,.156 ST,2022-04-01,1,0.0,9171.96,18036.14285714286
DC,.156 ST,2022-05-01,0,0.0,20258.3,10826.333333333332
DC,.156 ST,2022-05-01,1,0.0,16919.9,71393.66666666667
DC,.156 ST,2022-06-01,0,0.0,28676.5,3496.1666666666665
DC,.156 ST,2022-06-01,1,0.0,43257.97,37832.83333333333
DC,.156 ST,2022-07-01,0,0.0,0.0,3749.5384615384614
DC,.156 ST,2022-07-01,1,0.0,22020.68,38849.83516483517
DC,.156 ST,2022-08-01,0,0.0,22269.42,8435.599999999999
DC,.156 ST,2022-08-01,1,0.0,12706.5,24007.6
DC,.156 ST,2022-09-01,0,0.0,11264.7,0.0
DC,.156 ST,2022-09-01,1,0.0,72180.43,0.0
DC,.156 ST,2022-10-01,0,3405.3333333333335,7765.23,3138.8125
DC,.156 ST,2022-10-01,1,50669.666666666664,24763.64,14124.8125
DC,.156 ST,2022-11-01,0,8500.715617715618,0.0,7297.333333333334
DC,.156 ST,2022-11-01,1,188371.5351981352,58748.54,7297.333333333334
DC,.156 ST,2022-12-01,0,15847.692307692307,12725.5,0.0
DC,.156 ST,2022-12-01,1,21834.23076923077,38338.12,0.0
DC,.156 ST,2023-01-01,1,0.0,35492.13,0.0
DC,.156 ST,2023-02-01,0,22932.15,20562.65,0.0
DC,.156 ST,2023-02-01,1,46526.48333333334,34934.08,0.0
DC,.156 ST,2023-03-01,0,0.0,24367.37,3405.3333333333335
DC,.156 ST,2023-03-01,1,0.0,40379.83999999999,50669.666666666664
